Parameter,Symbol,Value,Source
GPU thermal design power,γ,0.700 kW,NVIDIA (2024)
GPU purchase price,PGPU,"$25,000",NVIDIA (2024)
GPU useful life,L,3 years,Industry standard
GPU utilization rate,β,0.70,Barroso et al. (2018)
Hours per year (365.25 x 24),H,8766 hr/yr,Calendar
Amortized hardware cost per GPU-hour,ρ,$1.36/hr,Derived
Amortized networking cost per GPU-hour,η,$0.15/hr,Liu et al. (2023)
PUE baseline (best-practice free-air cooling),φ,1.08,Google (2024)
PUE temperature sensitivity per degree C,δ,0.015 per C,Flucker et al. (2013)
Free-cooling temperature threshold,,15 C,Industry standard
Data center facility lifetime,D,15 years,Turner and Townsend (2025)
Latency degradation per ms of RTT,τ,0.0008 per ms,Calibrated
Bilateral sovereignty premium,,Eq. (2),Bailey et al. (2017)
Training share of compute demand,α,0.50,Deloitte (2025)
Total global compute demand,Q,6×10¹⁰ GPU-hr/yr,Epoch AI (2024)
